Description,Amino Acids,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BENS940103,0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,1,-0.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,2,-0.2,0.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,3,-0.3,-0.5,2.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,4,0.3,-2.2,-1.8,-3.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,5,-0.3,1.6,0.7,0.8,-2.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,6,-0.1,0.3,1.0,2.9,-3.2,1.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,7,0.6,-1.0,0.4,0.2,-2.0,-1.1,-0.5,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,8,-1.0,1.0,1.2,0.4,-1.3,1.4,0.2,-1.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,9,-0.8,-2.6,-2.8,-3.9,-1.2,-2.0,-2.9,-4.3,-2.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,10,-1.4,-2.4,-3.1,-4.2,-1.6,-1.7,-3.1,-4.6,-1.9,2.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,11,-0.4,2.9,0.9,0.4,-2.9,1.7,1.2,-1.1,0.6,-2.3,-2.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,12,-0.8,-1.8,-2.2,-3.2,-1.2,-1.0,-2.2,-3.5,-1.5,2.6,2.9,-1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,13,-2.6,-3.5,-3.2,-4.7,-0.7,-2.8,-4.3,-5.4,0.0,0.9,2.1,-3.6,1.3,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,14,0.4,-1.0,-1.0,-1.0,-3.1,-0.2,-0.7,-1.7,-1.0,-2.6,-2.2,-0.8,-2.4,-3.8,7.5,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,15,1.1,-0.2,0.9,0.4,0.1,0.1,0.1,0.4,-0.3,-1.8,-2.2,0.0,-1.4,-2.6,0.5,2.1,0.0,0.0,0.0,0.0,0.0
BENS940103,16,0.7,-0.3,0.4,-0.2,-0.6,-0.1,-0.2,-1.0,-0.5,-0.3,-1.1,0.1,-0.4,-2.2,0.1,1.4,2.5,0.0,0.0,0.0,0.0
BENS940103,17,-4.1,-1.6,-4.0,-5.5,-0.9,-2.8,-4.7,-4.1,-1.0,-2.3,-0.9,-3.6,-1.3,3.0,-5.2,-3.4,-3.7,14.7,0.0,0.0,0.0
BENS940103,18,-2.6,-2.0,-1.4,-2.8,-0.4,-1.8,-3.0,-4.3,2.5,-1.0,-0.1,-2.4,-0.5,5.3,-3.4,-1.9,-2.1,3.6,8.1,0.0,0.0
BENS940103,19,0.1,-2.2,-2.2,-2.9,-0.2,-1.7,-2.1,-3.1,-2.1,3.2,1.9,-1.9,1.8,0.1,-1.9,-1.0,0.2,-2.9,-1.4,3.4,0.0
BENS940103,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940103,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,1,-1.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,2,-1.7,-1.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,3,1.0,-2.3,1.7,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,4,-1.9,0.7,-1.5,-1.6,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,5,-2.1,0.3,0.4,0.3,-3.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,6,1.3,-2.0,0.3,3.8,-3.0,2.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,7,1.2,0.8,-2.6,1.1,1.0,-2.1,1.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,8,-2.1,3.6,1.8,1.7,-1.6,3.6,0.3,-2.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,9,-1.8,-1.2,0.9,-2.1,-1.9,-1.9,-2.3,-2.5,-1.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,10,-2.3,-0.4,-2.2,-2.4,-1.3,0.1,-2.5,-2.2,-0.1,1.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,11,-1.9,-0.2,3.5,0.3,-3.2,2.2,2.0,-2.2,0.6,0.7,-2.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,12,-2.0,-0.4,0.1,-2.5,-2.7,-1.2,-1.8,-2.3,-1.8,3.3,1.5,1.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENS940104,13,-2.4,-1.5,-1.3,-1.7,1.8,-2.1,-2.9,-1.9,-1.1,1.3,2.2,-2.8,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
